"","Contribution.ID","Climate.pollutants.come.from.transportation.and.buildings.that.burn.lots.of.fossil.fuels.etc.","Carbon.dioxide.can.be.removed.by.growing.more.trees.","Carbon.dioxide.can.be.removed.by.new.technologies.","Gender","edu_recode","income_recode","race_recode","zip","min"
"1",101,"Aware","Aware","Aware","Male","HS","$35,000 to $49,999","Black",53713,"yes"
"2",103,"Aware","Aware",NA,"Female","HS","Less than $25,000","Black",53704,"yes"
"3",104,NA,NA,NA,"Female","SOME_COLLEGE","Less than $25,000","Other",53562,"no"
"4",105,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"5",107,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"6",110,"Aware","Aware","Aware","Male","HS","$50,000 to $74,999","Black",NA,"yes"
"7",112,"Aware","Aware",NA,"Female","COLLEGE","Less than $25,000","Black",53711,"yes"
"8",113,"Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Black",NA,"yes"
"9",114,"Aware","Aware","Aware","Female","HS","$35,000 to $49,999","Black",53713,"yes"
"10",117,"Aware","Aware",NA,"Female","COLLEGE",NA,"Other",53713,"no"
"11",119,NA,"Aware",NA,"Female","HS","Less than $25,000","Black",NA,"yes"
"12",122,NA,"Aware","Aware","Female","HS","$35,000 to $49,999","Black",53714,"yes"
"13",125,"Aware","Aware","Aware","Male","HS","Less than $25,000","Black",NA,"yes"
"14",126,"Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Black",53711,"yes"
"15",127,"Aware","Aware","Aware","Female","HS","Less than $25,000","White",53714,"no"
"16",129,"Aware","Aware","Aware","Male","HS","Less than $25,000","Black",53704,"yes"
"17",131,"Aware","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","White",53715,"no"
"18",133,"Aware","Aware","Aware","Female","COLLEGE","$75,000 to $99,999","Black",53718,"yes"
"19",136,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53704,"yes"
"20",139,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53719,"yes"
"21",142,"Aware","Aware","Aware","Female","HS","Less than $25,000","White",53703,"no"
"22",144,"Aware","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Black",53719,"yes"
"23",145,NA,"Aware","Aware","Female","HS","$25,000 to $34,999","Black",NA,"yes"
"24",149,"Aware","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"25",150,"Aware","Aware","Aware","Female",NA,"$50,000 to $74,999","Black",53719,"yes"
"26",153,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53713,"yes"
"27",154,"Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Black",53704,"yes"
"28",155,"Aware","Aware","Aware","Male","HS","Less than $25,000","Black",NA,"yes"
"29",156,"Aware","Aware","Aware","Female","HS","Less than $25,000","White",53719,"no"
"30",157,NA,"Aware","Aware","Male","HS","$75,000 to $99,999","Black",53713,"yes"
"31",158,"Aware","Aware",NA,"Non-binary","COLLEGE","Less than $25,000","Black",53704,"yes"
"32",159,"Aware","Aware","Aware","Female","HS","$200,000 or more","White",53704,"no"
"33",163,"Aware","Aware","Aware","Female",NA,"Less than $25,000",NA,53713,"no"
"34",164,"Aware","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"35",165,NA,"Aware","Aware","Male","HS","Less than $25,000","Black",53713,"yes"
"36",169,"Aware","Aware","Aware","Non-binary","HS","Less than $25,000","Black",NA,"yes"
"37",170,"Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","White",53713,"no"
"38",171,"Aware","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"39",200,"Aware","Aware","Aware","Female",NA,"Less than $25,000",NA,53711,"no"
"40",103,"Aware","Aware","Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"41",104,"Aware","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"42",105,"Aware",NA,NA,"Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",NA,"yes"
"43",107,"Aware","Aware","Aware","Female","HS","$35,000 to $49,999","Hispanic",53713,"yes"
"44",108,"Aware","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"45",109,"Aware","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"46",111,"Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",NA,"yes"
"47",112,"Aware","Aware","Aware","Male","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"48",113,"Aware","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
"49",114,"Aware","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",53704,"yes"
"50",115,"Aware","Aware","Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53704,"yes"
"51",116,NA,"Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"52",118,NA,"Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"53",119,NA,"Aware","Aware","Male","HS","$25,000 to $34,999","Hispanic",53704,"yes"
"54",122,"Aware","Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53713,"yes"
"55",124,"Aware","Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"56",125,"Aware","Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"57",126,"Aware","Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"58",127,"Aware","Aware","Aware","Male","HS","Less than $25,000","Hispanic",53713,"yes"
"59",130,"Aware",NA,"Aware","Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"60",131,"Aware","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"61",132,"Aware","Aware",NA,"Female","HS","$75,000 to $99,999","Hispanic",53562,"yes"
"62",133,"Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"63",135,"Aware","Aware","Aware","Female",NA,"Less than $25,000","Hispanic",53719,"yes"
"64",136,"Aware","Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53719,"yes"
"65",137,"Aware","Aware","Aware","Female",NA,"$35,000 to $49,999","Hispanic",53562,"yes"
"66",138,"Aware","Aware","Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"67",141,NA,NA,NA,"Female",NA,NA,"Hispanic",53593,"yes"
"68",144,"Aware","Aware",NA,"Female","HS","Less than $25,000","Hispanic",53704,"yes"
"69",145,"Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"70",146,NA,NA,NA,"Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53713,"yes"
"71",147,"Aware","Aware","Aware","Male","HS","Less than $25,000","Hispanic",53715,"yes"
"72",148,"Aware","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",NA,"yes"
"73",149,"Aware","Aware","Aware","Female","COLLEGE","$50,000 to $74,999","Hispanic",53593,"yes"
"74",150,"Aware","Aware",NA,"Female","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"75",152,NA,"Aware",NA,"Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53575,"yes"
"76",153,"Aware","Aware","Aware","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53575,"yes"
"77",154,"Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"78",155,"Aware","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53562,"yes"
"79",156,"Aware","Aware","Aware","Male","HS","$75,000 to $99,999","Hispanic",53711,"yes"
"80",157,"Aware","Aware","Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"81",158,"Aware","Aware",NA,"Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53711,"yes"
"82",159,NA,"Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53703,"yes"
"83",160,"Aware","Aware","Aware","Female","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"84",162,"Aware","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53590,"yes"
"85",163,"Aware",NA,"Aware","Female",NA,NA,"Hispanic",NA,"yes"
"86",165,"Aware","Aware","Aware","Male","HS","$35,000 to $49,999","Hispanic",53593,"yes"
"87",170,"Aware","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"88",171,"Aware","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",5137,"yes"
"89",173,"Aware","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
