"","GEOID","full_geoid"
"1",55001,"Assembly District 1 (2018), Wisconsin"
"2",55035,"Assembly District 35 (2018), Wisconsin"
"3",55067,"Assembly District 67 (2018), Wisconsin"
"4",55089,"Assembly District 89 (2018), Wisconsin"
"5",55060,"Assembly District 60 (2018), Wisconsin"
"6",55095,"Assembly District 95 (2018), Wisconsin"
"7",55080,"Assembly District 80 (2018), Wisconsin"
"8",55074,"Assembly District 74 (2018), Wisconsin"
"9",55030,"Assembly District 30 (2018), Wisconsin"
"10",55052,"Assembly District 52 (2018), Wisconsin"
"11",55096,"Assembly District 96 (2018), Wisconsin"
"12",55078,"Assembly District 78 (2018), Wisconsin"
"13",55034,"Assembly District 34 (2018), Wisconsin"
"14",55053,"Assembly District 53 (2018), Wisconsin"
"15",55042,"Assembly District 42 (2018), Wisconsin"
"16",55014,"Assembly District 14 (2018), Wisconsin"
"17",55059,"Assembly District 59 (2018), Wisconsin"
"18",55037,"Assembly District 37 (2018), Wisconsin"
"19",55009,"Assembly District 9 (2018), Wisconsin"
"20",55033,"Assembly District 33 (2018), Wisconsin"
"21",55099,"Assembly District 99 (2018), Wisconsin"
"22",55058,"Assembly District 58 (2018), Wisconsin"
"23",55028,"Assembly District 28 (2018), Wisconsin"
"24",55057,"Assembly District 57 (2018), Wisconsin"
"25",55011,"Assembly District 11 (2018), Wisconsin"
"26",55032,"Assembly District 32 (2018), Wisconsin"
"27",55049,"Assembly District 49 (2018), Wisconsin"
"28",55079,"Assembly District 79 (2018), Wisconsin"
"29",55064,"Assembly District 64 (2018), Wisconsin"
"30",55006,"Assembly District 6 (2018), Wisconsin"
"31",55020,"Assembly District 20 (2018), Wisconsin"
"32",55050,"Assembly District 50 (2018), Wisconsin"
"33",55072,"Assembly District 72 (2018), Wisconsin"
"34",55021,"Assembly District 21 (2018), Wisconsin"
"35",55065,"Assembly District 65 (2018), Wisconsin"
"36",55025,"Assembly District 25 (2018), Wisconsin"
"37",55084,"Assembly District 84 (2018), Wisconsin"
"38",55091,"Assembly District 91 (2018), Wisconsin"
"39",55070,"Assembly District 70 (2018), Wisconsin"
"40",55012,"Assembly District 12 (2018), Wisconsin"
"41",55045,"Assembly District 45 (2018), Wisconsin"
"42",55023,"Assembly District 23 (2018), Wisconsin"
"43",55013,"Assembly District 13 (2018), Wisconsin"
"44",55082,"Assembly District 82 (2018), Wisconsin"
"45",55054,"Assembly District 54 (2018), Wisconsin"
"46",55098,"Assembly District 98 (2018), Wisconsin"
"47",55061,"Assembly District 61 (2018), Wisconsin"
"48",55018,"Assembly District 18 (2018), Wisconsin"
"49",55029,"Assembly District 29 (2018), Wisconsin"
"50",55015,"Assembly District 15 (2018), Wisconsin"
"51",55044,"Assembly District 44 (2018), Wisconsin"
"52",55041,"Assembly District 41 (2018), Wisconsin"
"53",55016,"Assembly District 16 (2018), Wisconsin"
"54",55083,"Assembly District 83 (2018), Wisconsin"
"55",55066,"Assembly District 66 (2018), Wisconsin"
"56",55051,"Assembly District 51 (2018), Wisconsin"
"57",55010,"Assembly District 10 (2018), Wisconsin"
"58",55008,"Assembly District 8 (2018), Wisconsin"
"59",55022,"Assembly District 22 (2018), Wisconsin"
"60",55005,"Assembly District 5 (2018), Wisconsin"
"61",55027,"Assembly District 27 (2018), Wisconsin"
"62",55097,"Assembly District 97 (2018), Wisconsin"
"63",55086,"Assembly District 86 (2018), Wisconsin"
"64",55026,"Assembly District 26 (2018), Wisconsin"
"65",55048,"Assembly District 48 (2018), Wisconsin"
"66",55007,"Assembly District 7 (2018), Wisconsin"
"67",55036,"Assembly District 36 (2018), Wisconsin"
"68",55077,"Assembly District 77 (2018), Wisconsin"
"69",55004,"Assembly District 4 (2018), Wisconsin"
"70",55055,"Assembly District 55 (2018), Wisconsin"
"71",55092,"Assembly District 92 (2018), Wisconsin"
"72",55081,"Assembly District 81 (2018), Wisconsin"
"73",55038,"Assembly District 38 (2018), Wisconsin"
"74",55090,"Assembly District 90 (2018), Wisconsin"
"75",55093,"Assembly District 93 (2018), Wisconsin"
"76",55039,"Assembly District 39 (2018), Wisconsin"
"77",55002,"Assembly District 2 (2018), Wisconsin"
"78",55071,"Assembly District 71 (2018), Wisconsin"
"79",55076,"Assembly District 76 (2018), Wisconsin"
"80",55003,"Assembly District 3 (2018), Wisconsin"
"81",55073,"Assembly District 73 (2018), Wisconsin"
"82",55088,"Assembly District 88 (2018), Wisconsin"
"83",55085,"Assembly District 85 (2018), Wisconsin"
"84",55063,"Assembly District 63 (2018), Wisconsin"
"85",55068,"Assembly District 68 (2018), Wisconsin"
"86",55024,"Assembly District 24 (2018), Wisconsin"
"87",55046,"Assembly District 46 (2018), Wisconsin"
"88",55017,"Assembly District 17 (2018), Wisconsin"
"89",55075,"Assembly District 75 (2018), Wisconsin"
"90",55056,"Assembly District 56 (2018), Wisconsin"
"91",55031,"Assembly District 31 (2018), Wisconsin"
"92",55094,"Assembly District 94 (2018), Wisconsin"
"93",55087,"Assembly District 87 (2018), Wisconsin"
"94",55043,"Assembly District 43 (2018), Wisconsin"
"95",55069,"Assembly District 69 (2018), Wisconsin"
"96",55040,"Assembly District 40 (2018), Wisconsin"
"97",55019,"Assembly District 19 (2018), Wisconsin"
"98",55047,"Assembly District 47 (2018), Wisconsin"
"99",55062,"Assembly District 62 (2018), Wisconsin"
